id,variable,fecha,valor,fecha_dato
1,Reservas Internacionales del BCRA (en millones de dólares - cifras provisorias sujetas a cambio de valuación),2024-10-16,28294.0,2024-10-18
5,Tipo de Cambio Mayorista ($ por USD) Comunicación A 3500 - Referencia,2024-10-18,983.83,2024-10-18
6,Tasa de Política Monetaria (en % n.a.),2024-10-18,40.0,2024-10-18
7,BADLAR en pesos de bancos privados (en % n.a.),2024-10-17,40.625,2024-10-18
8,TM20 en pesos de bancos privados (en % n.a.),2024-10-17,42.3125,2024-10-18
9,"Tasas de interés de las operaciones de pase activas para el BCRA, a 1 día de plazo (en % n.a.)",2024-10-18,45.0,2024-10-18
10,"Tasas de interés de las operaciones de pase pasivas para el BCRA, a 1 día de plazo (en % n.a.)",2024-07-19,40.0,2024-10-18
11,Tasas de interés por préstamos entre entidades financiera privadas (BAIBAR) (en % n.a.),2024-10-17,47.62,2024-10-18
12,Tasas de interés por depósitos a 30 días de plazo en entidades financieras (en % n.a.),2024-10-17,37.36,2024-10-18
13,Tasa de interés de préstamos por adelantos en cuenta corriente,2024-10-17,50.12,2024-10-18
14,Tasa de interés de préstamos personales,2024-10-17,68.58,2024-10-18
15,Base monetaria - Total (en millones de pesos),2024-10-16,22644832.0,2024-10-18
16,Circulación monetaria (en millones de pesos),2024-10-16,15281782.0,2024-10-18
17,Billetes y monedas en poder del público (en millones de pesos),2024-10-16,13677386.0,2024-10-18
18,Efectivo en entidades financieras (en millones de pesos),2024-10-16,1604396.0,2024-10-18
19,Depósitos de los bancos en cta. cte. en pesos en el BCRA (en millones de pesos),2024-10-16,7363050.0,2024-10-18
21,Depósitos en efectivo en las entidades financieras - Total (en millones de pesos),2024-10-16,123090891.0,2024-10-18
22,En cuentas corrientes (neto de utilización FUCO) (en millones de pesos),2024-10-16,23079146.0,2024-10-18
23,En Caja de ahorros (en millones de pesos),2024-10-16,45587766.0,2024-10-18
24,A plazo (incluye inversiones y excluye CEDROS) (en millones de pesos),2024-10-16,47341679.0,2024-10-18
25,"M2 privado, promedio móvil de 30 días, variación interanual (en %)",2024-10-16,126.0,2024-10-18
26,Préstamos de las entidades financieras al sector privado (en millones de pesos),2024-10-16,50888959.0,2024-10-18
27,Inflación mensual (variación en %),2024-09-30,3.5,2024-10-18
28,Inflación interanual (variación en % i.a.),2024-09-30,209.0,2024-10-18
29,Inflación esperada - REM próximos 12 meses - MEDIANA (variación en % i.a),2024-09-30,40.9,2024-10-18
34,Tasa de Política Monetaria (en % e.a.),2024-10-18,49.15,2024-10-18
35,BADLAR en pesos de bancos privados (en % e.a.),2024-10-17,49.06,2024-10-18
41,"Tasas de interés de las operaciones de pase pasivas para el BCRA, a 1 día de plazo (en % e.a.)",2024-07-19,49.15,2024-10-18
42,Pases pasivos para el BCRA - Saldos (en millones de pesos),2024-10-16,0.0,2024-10-18
